X                       ,Y                       ,T   
8.820000000000000062e-01,4.200000000000000261e-02,3.412988000000000284e+02
9.000000000000000222e-01,4.200000000000000261e-02,3.412862999999999829e+02
1.799999999999999864e-02,4.800000000000000100e-02,3.382932999999999879e+02
3.599999999999999728e-02,4.800000000000000100e-02,3.383041999999999803e+02
5.399999999999999939e-02,4.800000000000000100e-02,3.383145999999999844e+02
7.199999999999999456e-02,4.800000000000000100e-02,3.383245999999999754e+02
8.999999999999999667e-02,4.800000000000000100e-02,3.383342000000000098e+02
1.079999999999999988e-01,4.800000000000000100e-02,3.383432999999999993e+02
1.260000000000000009e-01,4.800000000000000100e-02,3.383519000000000005e+02
1.439999999999999891e-01,4.800000000000000100e-02,3.383600999999999885e+02
1.620000000000000051e-01,4.800000000000000100e-02,3.383677999999999884e+02
1.799999999999999933e-01,4.800000000000000100e-02,3.383750000000000000e+02
1.980000000000000093e-01,4.800000000000000100e-02,3.383817000000000235e+02
2.159999999999999976e-01,4.800000000000000100e-02,3.383879999999999768e+02
2.340000000000000135e-01,4.800000000000000100e-02,3.383937000000000239e+02
2.520000000000000018e-01,4.800000000000000100e-02,3.383990000000000009e+02
2.700000000000000178e-01,4.800000000000000100e-02,3.384037999999999897e+02
2.879999999999999782e-01,4.800000000000000100e-02,3.384080999999999904e+02
3.059999999999999942e-01,4.800000000000000100e-02,3.384119999999999777e+02
3.240000000000000102e-01,4.800000000000000100e-02,3.384153999999999769e+02
3.420000000000000262e-01,4.800000000000000100e-02,3.384184000000000196e+02
3.599999999999999867e-01,4.800000000000000100e-02,3.384209999999999923e+02
3.780000000000000027e-01,4.800000000000000100e-02,3.384230999999999767e+02
3.960000000000000187e-01,4.800000000000000100e-02,3.384248000000000047e+02
4.139999999999999791e-01,4.800000000000000100e-02,3.384259999999999877e+02
4.319999999999999951e-01,4.800000000000000100e-02,3.384268000000000143e+02
4.500000000000000111e-01,4.800000000000000100e-02,3.384273000000000025e+02
4.680000000000000271e-01,4.800000000000000100e-02,3.384273000000000025e+02
4.859999999999999876e-01,4.800000000000000100e-02,3.384268000000000143e+02
5.040000000000000036e-01,4.800000000000000100e-02,3.384259999999999877e+02
5.220000000000000195e-01,4.800000000000000100e-02,3.384248000000000047e+02
5.400000000000000355e-01,4.800000000000000100e-02,3.384230999999999767e+02
5.580000000000000515e-01,4.800000000000000100e-02,3.384209999999999923e+02
5.759999999999999565e-01,4.800000000000000100e-02,3.384184000000000196e+02
5.939999999999999725e-01,4.800000000000000100e-02,3.384153999999999769e+02
6.119999999999999885e-01,4.800000000000000100e-02,3.384119999999999777e+02
6.300000000000000044e-01,4.800000000000000100e-02,3.384080999999999904e+02
6.480000000000000204e-01,4.800000000000000100e-02,3.384037999999999897e+02
